0	program#const	reduction
1	compUnit#const	reduction
2	decl#const	reduction
3	constDecl#const	reduction
4	const#const	move
5	bType#int	reduction
6	int#int	move
7	constDef#Ident	reduction
8	Ident#Ident	move
9	=#=	move
10	constInitVal#-	reduction
11	constExp#-	reduction
12	-#-	move
13	unaryExp#Ident	reduction
14	Ident#Ident	move
15	callFunc#;	reduction
16	mulExpAtom#;	reduction
17	addExpAtom#;	reduction
18	relExpAtom#;	reduction
19	eqExpAtom#;	reduction
20	assignExpAtom#;	reduction
21	argConst#;	reduction
22	;#;	move
23	compUnit#const	reduction
24	decl#const	reduction
25	constDecl#const	reduction
26	const#const	move
27	bType#int	reduction
28	int#int	move
29	constDef#Ident	reduction
30	Ident#Ident	move
31	=#=	move
32	constInitVal#-	reduction
33	constExp#-	reduction
34	-#-	move
35	unaryExp#Ident	reduction
36	Ident#Ident	move
37	callFunc#,	reduction
38	mulExpAtom#,	reduction
39	addExpAtom#,	reduction
40	relExpAtom#,	reduction
41	eqExpAtom#,	reduction
42	assignExpAtom#,	reduction
43	argConst#,	reduction
44	,#,	move
45	constDef#Ident	reduction
46	Ident#Ident	move
47	=#=	move
48	constInitVal#(	reduction
49	constExp#(	reduction
50	(#(	move
51	exp#Ident	reduction
52	assignExp#Ident	reduction
53	Ident#Ident	move
54	callFunc#+	reduction
55	mulExpAtom#+	reduction
56	addExpAtom#+	reduction
57	+#+	move
58	mulExp#Ident	reduction
59	Ident#Ident	move
60	callFunc#)	reduction
61	mulExpAtom#)	reduction
62	addExpAtom#)	reduction
63	relExpAtom#)	reduction
64	eqExpAtom#)	reduction
65	assignExpAtom#)	reduction
66	)#)	move
67	mulExpAtom#*	reduction
68	*#*	move
69	unaryExp#Ident	reduction
70	Ident#Ident	move
71	callFunc#;	reduction
72	mulExpAtom#;	reduction
73	addExpAtom#;	reduction
74	relExpAtom#;	reduction
75	eqExpAtom#;	reduction
76	assignExpAtom#;	reduction
77	argConst#;	reduction
78	;#;	move
79	compUnit#int	reduction
80	decl#int	reduction
81	varDecl#int	reduction
82	bType#int	reduction
83	int#int	move
84	varDef#Ident	reduction
85	Ident#Ident	move
86	argVarDef#=	reduction
87	=#=	move
88	initVal#Ident	reduction
89	exp#Ident	reduction
90	assignExp#Ident	reduction
91	Ident#Ident	move
92	callFunc#%	reduction
93	mulExpAtom#%	reduction
94	%#%	move
95	unaryExp#Ident	reduction
96	Ident#Ident	move
97	callFunc#;	reduction
98	mulExpAtom#;	reduction
99	addExpAtom#;	reduction
100	relExpAtom#;	reduction
101	eqExpAtom#;	reduction
102	assignExpAtom#;	reduction
103	argVarDecl#;	reduction
104	;#;	move
105	compUnit#int	reduction
106	decl#int	reduction
107	varDecl#int	reduction
